empty,name,showed_name,episode,episode_title,album,track,title,time,timing,scene,theme,other
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:00:05,あらすじ,"･マンドーとチャイルド\n
･ディン･ジャリン","以下に近い曲を含む\n
S1-8-5「Nurse and Protect」"
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:02:10,ロゴ,,
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,1,Mando Is Back,~1:15,0:02:28,闘技場に向かうディン,･ディン・ジャリン,
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,2,Enjoy the Fights,　,0:03:53,闘技場にてゴアに会うディン,,
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,1,Mando Is Back,1:15~,0:06:44,"ゴアからマンダロリアンの情報を聞き出すディン\n
タトゥイーンに到着する＜レイザークレスト＞",･ディン・ジャリン,
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,3,The Marshal's Tale,~2:01,0:11:44,モス･ペルゴへ向かうディン,･ディン・ジャリン,本編だと曲の終わりが長尺
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:14:34,ディンの前に現れるコブ,,
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:16:24,コブと睨み合うディン,,
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:18:43,バンサを食す巨大クレイト･ドラゴン,,
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:18:59,"ディンと取引するコブ\n
スピーダーでクレイト･ドラゴンの巣へ向かうディンとコブ",,曲間無し(A)
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,3,The Marshal's Tale,2:01~,0:20:39,マンダロリアンアーマーの入手経緯を語るコブ,･ジャワ,曲間無し(B)
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,4,Tusken Raiders,　,0:26:08,"マシッフを宥めるディン\n
タスケンにクレイト･ドラゴンについて聞くディン\n
バンサでクレイト･ドラゴンの巣へ向かうディンら","･タスケン･レイダー\n
･ディン･ジャリン",本編だと曲の終わりが長尺
,Mando2,Season 2,1,Chapter 9: The Marshal,S2-1,4,Tusken Raiders,0:25~1:52,0:30:43,巨大クレイト･ドラゴンを倒す計画を立てるタスケンら,,曲間無し(A)
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:31:50,モス･ペルゴへ戻るディンとコブ,,曲間無し(B)
,Mando2,Season 2,1,Chapter 9: The Marshal,未,,　,　,0:33:44,"タスケンと協力するよう住民に伝えるディン\n
モス･ペルゴへやって来るタスケン",･ディン･ジャリン,
